code_insee,nom_commune,lon,lat,score_tension,dep
77211,Grandpuits-Bailly-Carrois,2.9771734615384613,48.58270923076923,82.8,77
77212,Gravon,3.1249047368421055,48.38902605263158,82.6,77
77223,Gurcy-le-Châtel,3.08025320754717,48.48644433962264,92.6,77
77236,Jaulnes,3.279687108433735,48.4177043373494,86.4,77
77245,Laval-en-Brie,2.974922028985507,48.452755072463766,73.9,77
77279,Marolles-sur-Seine,3.026660470588235,48.382906235294115,72.4,77
77286,Meigneux,3.096486666666667,48.51276875,89.9,77
77293,Misy-sur-Yonne,3.095073243243243,48.36393810810811,78.9,77
77304,Montenils,3.4773806896551727,48.83177482758621,44.4,77
77310,Montigny-le-Guesdier,3.2520789999999997,48.379501,90.9,77
77311,Montigny-Lencoup,3.057086417910448,48.45271149253731,83.7,77
77313,Montmachoux,2.9893560714285714,48.319739285714284,78.9,77
77321,Mousseaux-lès-Bray,3.2282227499999996,48.39691225,88.0,77
77327,Nangis,3.0109816883116887,48.55429194805195,85.3,77
77365,Le Plessis-Feu-Aussoux,3.043630857142857,48.71493971428571,82.6,77
77383,Rampillon,3.071387222222222,48.5395237037037,86.1,77
77391,Rouilly,3.2903062499999995,48.590174250000004,73.4,77
77409,Saint-Germain-Laval,2.997317804878049,48.409538536585366,75.0,77
77439,Salins,3.024678717948718,48.42714794871795,75.3,77
77467,La Tombe,3.0894396153846153,48.38638576923077,81.3,77
77481,Vanvillé,3.1138397872340424,48.554930638297876,79.3,77
77490,Vendrest,3.109051515151515,49.04256621212121,91.1,77
77507,Villenauxe-la-Petite,3.31100925,48.399679625,85.8,77
77509,Villeneuve-les-Bordes,3.0295096721311476,48.49789540983606,87.3,77
77523,Villuis,3.3584424444444445,48.40092266666667,83.3,77
77527,Voinsles,3.0204573170731708,48.680080731707314,73.1,77
77030,Bellot,3.328316231884058,48.84386956521739,93.0,77
77093,La Chapelle-Moutils,3.3785711764705884,48.7737155882353,93.0,77
77120,Cocherel,3.0979128571428567,49.018359464285716,78.5,77
77129,Coulombs-en-Valois,3.1275932954545453,49.076323409090904,91.3,77
77148,Crouy-sur-Ourcq,3.0832621428571425,49.08710083333333,84.9,77
77182,La Ferté-Gaucher,3.3080433333333334,48.79309892473118,87.3,77
77188,Fontaine-le-Port,2.771259649122807,48.48138929824562,74.5,77
77204,Germigny-sous-Coulombs,3.1593508,49.063745600000004,86.8,77
77228,Hondevilliers,3.311840357142857,48.90165214285714,93.0,77
77235,Jaignes,3.075637878787879,48.986112727272726,77.6,77
77247,Lescherolles,3.351285254237288,48.761619322033894,92.4,77
77280,Mary-sur-Marne,3.030132,49.015627599999995,80.1,77
77303,Montdauphin,3.4206823404255315,48.85366446808511,62.0,77
77314,Montolivet,3.43078625,48.82834607142858,62.0,77
77343,Ocquerre,3.057790666666667,49.03556893333333,80.1,77
77385,Rebais,3.233283939393939,48.85676742424243,84.9,77
77394,Rubelles,2.678180333333333,48.56428266666667,74.5,77
77402,Saint-Barthélemy,3.363134375,48.820152031250004,73.9,77
77405,Saint-Cyr-sur-Morin,3.174906582278481,48.91257544303797,84.1,77
77406,Saint-Denis-lès-Rebais,3.196695535714286,48.84424071428572,84.9,77
77421,Saint-Mars-Vieux-Maisons,3.3201890476190474,48.73777634920635,91.1,77
77423,Saint-Martin-des-Champs,3.3296588059701495,48.78653671641791,91.5,77
77429,Saint-Ouen-sur-Morin,3.2035084210526317,48.904534210526315,85.6,77
77460,Tancrou,3.080013225806452,49.004207096774195,79.0,77
77480,Valence-en-Brie,2.8921415,48.44556766666667,72.7,77
77492,Verdelot,3.3682077142857145,48.87802657142857,79.4,77
77512,Villeneuve-sur-Bellot,3.3340970689655176,48.873415517241384,93.0,77
77171,Esbly,2.8119106451612903,48.90249032258065,79.6,77
77476,Trocy-en-Multien,2.96304,49.040737441860465,72.8,77
77005,Annet-sur-Marne,2.703429180327869,48.9224362295082,70.3,77
77008,Armentières-en-Brie,3.009396666666667,48.977285625,86.6,77
77023,Barcy,2.8741572727272726,49.01827295454545,59.9,77
77047,Bouleurs,2.9083422222222226,48.88107711111111,69.5,77
77049,Boutigny,2.9300877586206897,48.912916034482755,77.4,77
77055,Brou-sur-Chantereine,2.6374644444444444,48.88988583333334,60.3,77
77058,Bussy-Saint-Georges,2.7178182089552236,48.828574626865674,56.4,77
77059,Bussy-Saint-Martin,2.67663,48.8455909375,55.6,77
77062,Carnetin,2.700650416666667,48.90437291666667,78.0,77
77075,Chalifert,2.7729871875,48.89783875,79.5,77
